name,networth,education
Jim_Davis_(business),5.2E9,Middlebury College
Jim_Irsay,2.3E9,Southern Methodist University
Jim_Justice,1.69E9,Marshall University
Jim_McColl,1.0E9,University of Strathclyde
Jim_McColl,1.0E9,Stonelaw High School
Jim_Ratcliffe,3.2E9,Beverley Grammar School
Jim_Walton,3.38E10,University of Arkansas
Joan_Tisch,2.8E9,University of Michigan
Joe_Jamail,1.5E9,University of Texas at Austin
Joe_Mansueto,2.2E9,Munster High School
Johann_Rupert,7.9E9,Stellenbosch University
John_Abele,6.03E8,Amherst College
John_Arrillaga,2.3E9,Stanford University
John_C._Malone,6.5E9,Yale University
John_C._Malone,6.5E9,Johns Hopkins University
John_C._Malone,6.5E9,New York University
John_C._Malone,6.5E9,Doctor of Philosophy
John_Caudwell,2.6E9,Berry Hill High School and Sports College
John_Chuang,9.65E8,University of Liverpool
James_Packer,3.5E9,Sydney
James_Packer,3.5E9,Cranbrook School Sydney
James_R._Leininger,1.3E9,Indiana University
James_R._Leininger,1.3E9,Doctor of Medicine
Jane_Lauder,1.4E9,Stanford University
Jeff_Sutton_(real_estate_developer),3.4E9,University of Pennsylvania
Jennifer_Pritzker,1.7E9,Loyola University Chicago
Jerome_Booth,1.12E8,University of Oxford
Jerome_Booth,1.12E8,University of Bristol
Jerry_Reinsdorf,1.2E9,George Washington University
Jerry_Reinsdorf,1.2E9,Northwestern University School of Law
John_Francis_Hylan,5000.0,New York Law School
John_Franklyn_Mars,2.36E10,Yale University
John_Franklyn_Mars,2.36E10,Hotchkiss School
John_Gokongwei,5.0E9,De La Salle University
John_Griffin_(businessman),1.4E8,Finchley Catholic High School
John_Hagee,5000000.0,Bachelor of Science
John_Hugh_MacMillan,1.7E9,Blake School (Minneapolis)
John_Hugh_MacMillan,1.7E9,Berkshire School
John_Jacob_Astor_IV,8.5E7,St. Paul's School (New Hampshire)
"John_Menard,_Jr.",9.1E9,University of Wisconsin–Eau Claire
John_Pritzker,2.3E9,Menlo College
John_Riccitiello,1.0E7,Bachelor of Science
John_S._Middleton,1.8E9,Amherst College
John_S._Middleton,1.8E9,Harvard Business School
John_Thompson_Dorrance,1.15E8,Massachusetts Institute of Technology
John_Thompson_Dorrance,1.15E8,University of Göttingen
Johnnie_Boden,3.0E8,Eton College
Johnnie_Boden,3.0E8,Hawtreys
Jon_Hunt,1.186E9,Millfield
Jon_Oringer,1.0E9,Columbia University
Jon_Oringer,1.0E9,Stony Brook University
Jonathan_D._Gray,1.66E9,University of Pennsylvania
