education,country,education_count
Northwestern University School of Law,USA,2
Norwich School (independent school),NA,1
Nyakasura School,NA,1
Oakton High School,NA,1
Odessa National Medical University,Ukraine,1
Ohio State University,USA,2
Oklahoma State University–Stillwater,USA,1
Open University Malaysia,Malaysia,1
Oregon State University,USA,3
Oriel College Oxford,UK,1
Ovidius University,Romania,1
PSG College of Technology,India,1
Paarl Boys' High School,NA,1
Pace University,USA,1
Pangbourne College,UK,1
Panjab University Chandigarh,India,1
Pantheon-Sorbonne University,France,1
Paris Dauphine University,France,1
Park Tudor School,NA,1
Patna University,India,1
Peking University,China,2
Pennsylvania State University,USA,1
Perm_Polytechnic_Institute,Russia,1
Perth High School,NA,1
Phillips Academy,NA,1
Phillips Exeter Academy,NA,2
Phoenix Country Day School,NA,1
Physician,NA,1
Playwright,NA,1
Plekhanov Russian University of Economics,Russia,4
Political science,NA,1
Polytechnic University of Milan,Italy,1
Pomona College,USA,1
Pontifical Catholic University of Chile,Chile,3
Potchefstroom High School for Boys,NA,1
Pretoria Boys High School,NA,1
Princes Hill Secondary College,NA,1
Princeton University,USA,13
Proviso East High School,NA,1
Prydniprovska State Academy of Civil Engineering and Architecture,Ukraine,1
Purdue University,Indiana,1
Queen's University,Canada,2
RWTH Aachen University,Germany,2
Radford University,USA,1
Redding California,USA,1
Redwood High School (Larkspur California),NA,1
Reed College,USA,1
Renmin University of China,China,2
Repton School,NA,1
Reutlingen University,Germany,1
Rhode Island School of Design,USA,1
Rhodes University,South Africa,1
Rice University,USA,2
Rider University,USA,1
Rijnlands Lyceum Foundation,NA,1
Robert College,Turkey,2
Robert Gordon's College,NA,1
Roedean School,NA,1
Royal Academy of Dramatic Art,UK,1
Royal College of Art,UK,1
Royal Grammar School High Wycombe,NA,1
Royal Norwegian Air Force Academy,Norway,1
Ruparel College,India,1
Russian Presidential Academy of National Economy and Public Administration,Russia,1
Rutgers University,USA,2
Saint Joseph's University,USA,1
Saint Petersburg State Institute of Technology,Russia,1
Saint Petersburg State University,Russia,3
Salisbury University,USA,1
San Diego State University,USA,1
San Jose State University,USA,3
Santa Clara University,USA,1
Sapienza University of Rome,Italy,1
Saratoga High School (California),NA,1
Savanna High School,NA,1
Sehome High School,NA,1
Seoul National University,South Korea,1
Shady Side Academy,NA,1
Shanghai Jiao Tong University,China,2
Shenyang Aerospace University,China,1
Shenzhen University,China,2
Sherborne School,NA,1
Siberian State Industrial University,Russia,1
Sidney Sussex College Cambridge,UK,1
Silcoates School,NA,1
Sir Thomas Boteler Church of England High School,NA,1
Somerville College Oxford,UK,1
South China University of Technology,China,1
Southern Methodist University,USA,3
Southwestern Law School,USA,1
Sree Kerala Varma College,India,2
St Catharine's College Cambridge,UK,2
St Cuthbert's High School,NA,1
St Hilda's Anglican School for Girls,NA,1
St John's College Cambridge,UK,1
St Mary's Catholic Academy,NA,1
St Paul's School London,NA,3
St Richard Gwyn Catholic High School Flint,NA,1
St. Gregory's University,USA,1
St. John Fisher College,USA,1
St. Joseph's Institution Singapore,NA,1
St. Paul's School (New Hampshire),NA,1
St. Xavier's College Kolkata,India,1
Stanford Graduate School of Business,USA,8
Stanford University,USA,31
Stellenbosch University,South Africa,1
Stockholm School of Economics,Sweeden,1
Stockholm University,Sweeden,1
Stonelaw High School,NA,1
Stony Brook University,USA,3
Suffield Academy,NA,1
Swarthmore College,USA,1
Sydenham College,India,1
Sydney,NA,1
Syracuse University,USA,2
Tabor Academy (Massachusetts),NA,1
Taft School,NA,1
Tashkent University of Information Technologies,Uzebekistan,1
Taubman College of Architecture and Urban Planning,USA,1
Technical University of Madrid,Spain,1
Technion – Israel Institute of Technology,Israel,1
Technische Universität Darmstadt,Germany,1
Tel Aviv University,Israel,1
Temple University,USA,1
Tennessee State University,USA,1
Texarkana College,USA,1
Texas A&M University,USA,2
Texas Christian University,USA,1
Textile manufacturing,NA,1
The Culinary Institute of America,USA,1
The Doon School,NA,3
The Hill School,NA,1
The McCallie School,USA,1
Thomas Jefferson School of Law,USA,1
Tianjin University,China,1
Tisch School of the Arts,USA,1
Tohoku University,Japan,1
Trinity College (Connecticut),USA,1
Trinity College (Florida),USA,1
Trinity College Cambridge,UK,3
Trinity Hall Cambridge,UK,1
Trinity School (New York City),USA,1
Trinity University (Texas),USA,2
Tsinghua University,China,1
Tuck School of Business,USA,1
Tufts University,USA,2
Tula_Polytechnic_Institute,Russia,1
Tulane University,USA,2
Tyumen_Industrial_Institute,Russia,1
UCLA Anderson School of Management,USA,1
United States Military Academy,USA,1
United States Naval Academy,USA,2
Universidad Iberoamericana,Mexico,1
Universiti Teknologi MARA,Malaysia,1
University Academy Warrington,USA,1
University College Dublin,Ireland,1
University College London,UK,2
University College Oxford,UK,1
University at Buffalo,USA,3
University of Aberdeen,UK,1
University of Alberta,Canada,1
University of Arizona,USA,2
University of Arkansas,USA,3
University of Baltimore,USA,1
University of Bamberg,Germany,1
University of Belgrade,Serbia,1
University of Birmingham,UK,2
University of Bologna,Italy,1
University of Bradford,UK,1
University of Bridgeport,USA,1
